,Open,High,Low,Close,Adj Close,Volume,MA3,MA5
2000-12-18,3500.0,3590.0,3490.0,3560.0,2549.332275390625,34350000,3556.6666666666665,3590.0
2000-12-19,3560.0,3570.0,3510.0,3530.0,2527.849609375,25445000,3526.6666666666665,3596.0
2000-12-20,3420.0,3450.0,3320.0,3340.0,2391.791015625,53675000,3476.6666666666665,3508.0
2000-12-21,3120.0,3300.0,3070.0,3240.0,2320.179931640625,76625000,3370.0,3432.0
2000-12-22,3240.0,3300.0,3130.0,3140.0,2248.5693359375,63760000,3240.0,3362.0
2000-12-25,3140.0,3140.0,3140.0,3140.0,2248.5693359375,0,3173.3333333333335,3278.0
2000-12-26,3230.0,3240.0,3160.0,3160.0,2262.89111328125,60430000,3146.6666666666665,3204.0
2000-12-27,3160.0,3160.0,3160.0,3160.0,2262.89111328125,0,3153.3333333333335,3168.0
2000-12-28,3160.0,3160.0,3160.0,3160.0,2262.89111328125,0,3160.0,3152.0
2000-12-29,3160.0,3160.0,3160.0,3160.0,2262.89111328125,0,3160.0,3156.0
2001-01-01,3160.0,3160.0,3160.0,3160.0,2262.89111328125,0,3160.0,3160.0
2001-01-02,3160.0,3380.0,3140.0,3350.0,2398.95166015625,39455000,3223.3333333333335,3198.0
2001-01-03,3230.0,3420.0,3220.0,3370.0,2413.273681640625,37855000,3293.3333333333335,3240.0
2001-01-04,3790.0,3870.0,3660.0,3780.0,2706.876220703125,119910000,3500.0,3364.0
2001-01-05,3760.0,3920.0,3700.0,3900.0,2792.808837890625,78135000,3683.3333333333335,3512.0
2001-01-08,3820.0,3910.0,3780.0,3880.0,2778.48681640625,42295000,3853.3333333333335,3656.0
2001-01-09,3830.0,3860.0,3710.0,3840.0,2749.84228515625,46280000,3873.3333333333335,3754.0
2001-01-10,3780.0,3810.0,3700.0,3710.0,2656.7490234375,41235000,3810.0,3822.0
2001-01-11,3790.0,3790.0,3640.0,3640.0,2606.621337890625,31410000,3730.0,3794.0
2001-01-12,3800.0,3890.0,3770.0,3840.0,2749.84228515625,52900000,3730.0,3782.0
2001-01-15,3860.0,4020.0,3840.0,3920.0,2807.13134765625,51460000,3800.0,3790.0
2001-01-16,3960.0,4200.0,3850.0,4140.0,2964.67333984375,52065000,3966.6666666666665,3850.0
2001-01-17,4060.0,4240.0,4060.0,4220.0,3021.96142578125,52570000,4093.3333333333335,3952.0
